rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
98,"spotify:track:2PGA1AsJal6cyMNmKyE56q","Apache 207","200 km/h","Four Music/Two Sides",2,95,49,"687253"
99,"spotify:track:2U5WueTLIK5WJLD7mvDODv","Juice WRLD","Wishing Well","Grade A Productions/Interscope Records",51,96,7,"686530"
100,"spotify:track:4eHCXCytMT6tSOeo13bwwJ","Olexesh, Esther Graf","Letztes Mal","385ideal",100,-1,1,"684020"
101,"spotify:track:5UDK6yzqiW4kJU3YQauYR5","reezy, Bausa","SANDMANN","Four Music/Two Sides",13,100,13,"678311"
102,"spotify:track:4KPYXZUCKYLEEcGmKN4Exs","LIZOT, Emelie Cyréus","Weekend (feat. Emelie Cyréus)","NITRON music",91,92,12,"677975"
103,"spotify:track:73h4oe03sZy8bXfQLfnqMv","Ava Max","Who's Laughing Now","Atlantic Records",103,147,2,"672168"
104,"spotify:track:13f8rS0rJDigpM8pPidh7d","Nimo","To The Moon","385ideal",42,42,2,"665641"
105,"spotify:track:4AzHvMzbHMCHC1UAoULT49","Azet, Albi","Xhep","Azet & Albi/WM Germany",22,60,3,"648829"
106,"spotify:track:1qHaUkOtJ0VlDG8kJPvY5l","AK AUSSERKONTROLLE, Jugglerz","Gangster Queen","XY Records",11,146,8,"647210"
107,"spotify:track:1Y8V7yhFFrFjzBQtOH4ap7","Apache 207","28 Liter","Four Music/Two Sides",8,70,4,"640097"
108,"spotify:track:2A0CxheiQGQdCiKtOR7jMP","LUM!X, D.T.E, Gabry Ponte, MOKABY","The Passenger (LaLaLa) [feat. MOKABY]","Spinnin' Records",47,103,28,"637460"
109,"spotify:track:6Hj9jySrnFppAI0sEMCZpJ","Juice WRLD","Robbery","Grade A Productions/Interscope Records",85,137,12,"636221"
110,"spotify:track:67ojvEGRPAUCOohuMPqoRC","Capital Bra, Samra, LEA","110","Urban",1,112,49,"634751"
111,"spotify:track:0U9dP3BUlAgq9KkJXOijBH","KALIM, Ufo361","SKRR","Urban",5,106,13,"633550"
112,"spotify:track:7N06jo3EnV792VFaG8vuW6","Felix Jaehn, VIZE, Miss Li","Close Your Eyes","Virgin",22,120,36,"630696"
113,"spotify:track:07f2b3CTdgKKlhv0mqUksz","Juju, Henning May","Vermissen (feat. Henning May)","JINX Music",1,126,69,"625539"
114,"spotify:track:5t3PF7pHuiwwLbNCJ8mn4N","Jamule","MedMen","Life Is Pain",11,98,10,"623547"
115,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",1,104,21,"622971"
